Species Name,Formula,Image,¦¤fH¡ã(0K),delta_H(298.15K),Uncertainty,Units,Molecular ,,(Molecular,mass)
,,,,,,,0.0012,,,
Carbonic acid,"C(O)(OH)2 (g, trans-trans)",,-561.67,-570.51,¡À 0.97,kJ/mol,62.0248 ¡À,,62.0248 ¡À,0.0012
,,,,,,,0.0012,,,
Hydrogen carbonate,[HOC(O)O]- (g),,-720.6,-726.9,¡À 1.4,kJ/mol,61.0174 ¡À,,61.0174 ¡À,0.0012
,,,,,,,0.0012,,,
Ozonide,[OOO]- (g),,-58.48,-60.84,¡À 0.21,kJ/mol,47.99875 ¡À,,47.99875 ¡À,0.0009
,,,,,,,0.0009,,,
n-Propylium,[CH3CH2CH2]+ (g),,856.96,838.68,¡À 0.86,kJ/mol,43.0871 ¡À,,43.0871 ¡À,0.0024
,,,,,,,0.0024,,,
Allyl anion,[CH2CHCH2]- (g),,134.13,123.12,¡À 0.24,kJ/mol,41.0723 ¡À,,41.0723 ¡À,0.0024
,,,,,,,0.0024,,,
Cyclopropyl,CH(CH2CH2) (g),,303.3,290.7,¡À 1.5,kJ/mol,41.0718 ¡À,,41.0718 ¡À,0.0024
,,,,,,,0.0024,,,
Propylidyne,"CH3CH2C (g, quartet)",,624.5,613,¡À 1.3,kJ/mol,41.0718 ¡À,,41.0718 ¡À,0.0024
,,,,,,,0.0024,,,
1-Propynylide,[CH3CC]- (g),,264.21,260.63,¡À 0.84,kJ/mol,39.0565 ¡À,,39.0565 ¡À,0.0024
,,,,,,,0.0024,,,
1-Propen-1-yl-3-ylidene,"CHCHCH (g, c-c quartet)",,657.4,653.9,¡À 1.5,kJ/mol,39.0559 ¡À,,39.0559 ¡À,0.0024
,,,,,,,0.0024,,,
sec-Butyl,CH3CH2CHCH3 (g),,90.84,66.07,¡À 0.95,kJ/mol,57.1143 ¡À,,57.1143 ¡À,0.0033
,,,,,,,0.0033,,,
Cyclohexane,CH2(CH2CH2CH2CH2CH2) (g),,-83.57,-123.13,¡À 0.36,kJ/mol,84.1595 ¡À,,84.1595 ¡À,0.0049
,,,,,,,0.0049,,,
Trioxygen difluoride,"FOOOF (g, trans)",,112.2,106.5,¡À 1.1,kJ/mol,85.99501 ¡À,,85.99501 ¡À,0.0009
,,,,,,,0.0009,,,
Oxirene,"O(CHCH) (g, t-triplet)",,387.9,383.7,¡À 1.7,kJ/mol,42.0367 ¡À,,42.0367 ¡À,0.0016
,,,,,,,0.0016,,,
Oxiranylidene,"CH2(CO) (g, singlet)",,213.5,209.3,¡À 1.4,kJ/mol,42.0367 ¡À,,42.0367 ¡À,0.0016
,,,,,,,0.0016,,,
Oxoethylidene,"HCC(O)H (g, syn-triplet)",,261.2,257.7,¡À 1.6,kJ/mol,42.0367 ¡À,,42.0367 ¡À,0.0016
,,,,,,,0.0016,,,
Dioxirane,CH2(OO) (g),,9.41,1.75,¡À 0.55,kJ/mol,46.0254 ¡À,,46.0254 ¡À,0.001
,,,,,,,0.001,,,
Hydroxyformyl anion,"[HOCO]- (g, trans)",,-313.7,-315.51,¡À 0.61,kJ/mol,45.0180 ¡À,,45.0180 ¡À,0.001
,,,,,,,0.001,,,
Bromochlorane,BrCl (g),,21.879,14.435,¡À 0.060,kJ/mol,115.3567 ¡À,,115.3567 ¡À,0.0013
,,,,,,,0.0013,,,
Ethoxyethene,"CH2CHOCH2CH3 (g, cis-trans)",,-117.4,-141.1,¡À 1.5,kJ/mol,72.1057 ¡À,,72.1057 ¡À,0.0033
,,,,,,,0.0033,,,
Cyanic acid,HOCN (g),,-12.2,-14.91,¡À 0.49,kJ/mol,43.02478 ¡À,,43.02478 ¡À,0.00086
,,,,,,,0.00086,,,
Isofulminic acid,HONC (g),,235.38,233.67,¡À 0.48,kJ/mol,43.02478 ¡À,,43.02478 ¡À,0.00086
,,,,,,,0.00086,,,
Oxidanylium,[OH]+ (g),,1293.188,1293.217,¡À 0.035,kJ/mol,17.00679 ¡À,,17.00679 ¡À,0.00031
,,,,,,,0.00031,,,
Acetic acid,CH3C(O)OH (g),,-418.88,-433.01,¡À 0.43,kJ/mol,60.0520 ¡À,,60.0520 ¡À,0.0017
,,,,,,,0.0017,,,
Ethyl formate,"HC(O)OCH2CH3 (g, syn)",,-375.1,-393.7,¡À 1.2,kJ/mol,74.0785 ¡À,,74.0785 ¡À,0.0025
,,,,,,,0.0025,,,
Methoxyoxomethyl,"CH3OCO (g, anti-staggered)",,-152.5,-160.6,¡À 1.5,kJ/mol,59.0440 ¡À,,59.0440 ¡À,0.0017
,,,,,,,0.0017,,,
(Formyloxy)methyl,"HC(O)OCH2 (g, syn)",,-151.9,-160,¡À 1.3,kJ/mol,59.0440 ¡À,,59.0440 ¡À,0.0017
,,,,,,,0.0017,,,
Carboxymethyl,"CH2C(O)OH (g, syn)",,-227.4,-237.3,¡À 1.2,kJ/mol,59.0440 ¡À,,59.0440 ¡À,0.0017
,,,,,,,0.0017,,,
Ethylene glycol,(CH2OH)2 (g),,-369.75,-389.37,¡À 0.40,kJ/mol,62.0678 ¡À,,62.0678 ¡À,0.0018
,,,,,,,0.0018,,,
(Methylamino)methyl cation,[CH3NHCH2]+ (g),,728.81,710.19,¡À 0.99,kJ/mol,44.0752 ¡À,,44.0752 ¡À,0.0017
,,,,,,,0.0017,,,
Diazomethyl,HCNN (g),,470.6,468.1,¡À 1.5,kJ/mol,41.03212 ¡À,,41.03212 ¡À,0.00082
,,,,,,,0.00082,,,
Isocyanoamidogen,HNNC (g),,491.1,489.1,¡À 1.5,kJ/mol,41.03212 ¡À,,41.03212 ¡À,0.00082
,,,,,,,0.00082,,,
Dichloromethyl,CHCl2 (g),,92.08,90.16,¡À 0.88,kJ/mol,83.9240 ¡À,,83.9240 ¡À,0.002
,,,,,,,0.002,,,
Chloromethyl,CH2Cl (g),,118.35,115.28,¡À 0.87,kJ/mol,49.4793 ¡À,,49.4793 ¡À,0.0012
,,,,,,,0.0012,,,
Methyl hypochlorite,CH3OCl (g),,-53.1,-63,¡À 1.4,kJ/mol,66.4866 ¡À,,66.4866 ¡À,0.0013
,,,,,,,0.0013,,,
"Hypochloroperoxoous acid, hydroxy ester","HOOOCl (g, syn)",,49.1,42.2,¡À 1.9,kJ/mol,84.4588 ¡À,,84.4588 ¡À,0.0013
,,,,,,,0.0013,,,
"1,2-Dichloroethane",CH2ClCH2Cl (g),,-118.57,-130.51,¡À 0.54,kJ/mol,98.9586 ¡À,,98.9586 ¡À,0.0024
,,,,,,,0.0024,,,
Chlorofluoromethane,CH2FCl (g),,-256.3,-263.4,¡À 1.3,kJ/mol,68.4777 ¡À,,68.4777 ¡À,0.0012
,,,,,,,0.0012,,,
Difluoromethyliumyl,[CF2]+ (g),,908.13,908.56,¡À 0.78,kJ/mol,50.00696 ¡À,,50.00696 ¡À,0.0008
,,,,,,,0.0008,,,
Trioxidanyl,"HOOO (g, trans)",,25.32,23.33,¡À 0.13,kJ/mol,49.00614 ¡À,,49.00614 ¡À,0.0009
,,,,,,,0.0009,,,
Formyl chloride,CHClO (g),,-179.99,-183.2,¡À 0.77,kJ/mol,64.4707 ¡À,,64.4707 ¡À,0.0012
,,,,,,,0.0012,,,
Chloroformyl,ClCO (g),,-21.92,-20.52,¡À 0.49,kJ/mol,63.4628 ¡À,,63.4628 ¡À,0.0012
,,,,,,,0.0012,,,
"1,3-Butadiyne",HCCCCH (g),,458.32,460.05,¡À 0.82,kJ/mol,50.0587 ¡À,,50.0587 ¡À,0.0032
,,,,,,,0.0032,,,
o-Benzyne anion,[C6H4]- (g),,413.71,404.6,¡À 0.97,kJ/mol,76.0965 ¡À,,76.0965 ¡À,0.0048
,,,,,,,0.0048,,,
Cycloheptene,CH2(CHCHCH2CH2CH2CH2 (g),,28.11,-9.12,¡À 0.75,kJ/mol,96.1702 ¡À,,96.1702 ¡À,0.0057
,,,,,,,0.0057,,,
Cycloheptatriene,CH2(CHCHCHCHCHCH) (g),,206.92,183.5,¡À 0.95,kJ/mol,92.1384 ¡À,,92.1384 ¡À,0.0056
,,,,,,,0.0056,,,
Fluorobenzene cation,[C6H5F]+ (g),,788.9,773.87,¡À 0.89,kJ/mol,96.1018 ¡À,,96.1018 ¡À,0.0048
,,,,,,,0.0048,,,
Nitrosobenzene,C6H5NO (g),,215.7,198.7,¡À 1.2,kJ/mol,107.1100 ¡À,,107.1100 ¡À,0.0048
,,,,,,,0.0048,,,
Nitromethyl,CH2N(O)O (g),,138.9,129.5,¡À 1.2,kJ/mol,60.0321 ¡À,,60.0321 ¡À,0.001
,,,,,,,0.001,,,
Methylketene,CH3CHCO (g),,-54.7,-64.2,¡À 1.1,kJ/mol,56.0633 ¡À,,56.0633 ¡À,0.0024
,,,,,,,0.0024,,,
Acrolein,"CH2CHCHO (g, trans)",,-55.3,-65.7,¡À 1.2,kJ/mol,56.0633 ¡À,,56.0633 ¡À,0.0024
,,,,,,,0.0024,,,
Dinitrogen pentoxide,O2NONO2 (g),,24.43,14.86,¡À 0.35,kJ/mol,108.0105 ¡À,,108.0105 ¡À,0.0015
,,,,,,,0.0015,,,
Chlorine difluoride,FClF (g),,-47.2,-48.3,¡À 1.4,kJ/mol,73.44951 ¡À,,73.44951 ¡À,0.0009
,,,,,,,0.0009,,,
Bifluoride,"[(HF)(F)]- (g, singlet)",,-481.8,-480.6,¡À 1.9,kJ/mol,39.005295 ¡À,,39.005295 ¡À,0.00007
,,,,,,,0.00007,,,
Diazenyl,NNH (g),,252.17,249.25,¡À 0.47,kJ/mol,29.02142 ¡À,,29.02142 ¡À,0.00016
,,,,,,,0.00016,,,
Trioxidanylium,"[HOOO]+ (g, trans)",,1070.6,1064.3,¡À 1.4,kJ/mol,49.00559 ¡À,,49.00559 ¡À,0.0009
,,,,,,,0.0009,,,
Peroxynitric acid,HOON(O)O (g),,-42.6,-53,¡À 1.3,kJ/mol,79.0123 ¡À,,79.0123 ¡À,0.0012
,,,,,,,0.0012,,,
Nitrosyl chloride,ClNO (g),,54.453,52.552,¡À 0.067,kJ/mol,65.45884 ¡À,,65.45884 ¡À,0.00095
,,,,,,,0.00095,,,
Carbon dioxide,"CO2 (g, triplet)",,49.8,50.6,¡À 1.1,kJ/mol,44.00950 ¡À,,44.00950 ¡À,0.001
,,,,,,,0.001,,,
Methane cation,[CH4]+ (g),,1150.673,1144.29,¡À 0.066,kJ/mol,16.04191 ¡À,,16.04191 ¡À,0.00085
,,,,,,,0.00085,,,
Oxoniumyl ion,[H2O]+ (g),,978.466,975.563,¡À 0.028,kJ/mol,18.01473 ¡À,,18.01473 ¡À,0.00033
,,,,,,,0.00033,,,
Hydrogen chloride,"HCl (aq, 100 H2O)",,,-165.757,¡À 0.025,kJ/mol,36.46064 ¡À,,36.46064 ¡À,0.0009
,,,,,,,0.0009,,,
Ethanium,[C2H7]+ (g),,874.34,858.1,¡À 0.62,kJ/mol,31.0764 ¡À,,31.0764 ¡À,0.0017
,,,,,,,0.0017,,,
Hydrogen fluoride,"HF (aq, 30 H2O)",,,-321.09,¡À 0.16,kJ/mol,20.006343 ¡À,,20.006343 ¡À,0.00007
,,,,,,,0.00007,,,
Acetylene cation,[HCCH]+ (g),,1328.83,1328.17,¡À 0.13,kJ/mol,26.0367 ¡À,,26.0367 ¡À,0.0016
,,,,,,,0.0016,,,
Vinylidene,CCH2 (g),,411.24,412.16,¡À 0.33,kJ/mol,26.0373 ¡À,,26.0373 ¡À,0.0016
,,,,,,,0.0016,,,
1-Ethylium-1-ylidene,[CH3C]+ (g),,1329.6,1328.2,¡À 1.2,kJ/mol,27.0447 ¡À,,27.0447 ¡À,0.0016
,,,,,,,0.0016,,,
Ethylidyne anion,[CH3C]- (g),,457,452.9,¡À 1.2,kJ/mol,27.0458 ¡À,,27.0458 ¡À,0.0016
,,,,,,,0.0016,,,
Vinylidene anion,[CCH2]- (g),,364.13,363.95,¡À 0.63,kJ/mol,26.0378 ¡À,,26.0378 ¡À,0.0016
,,,,,,,0.0016,,,
Ethynylium,[CCH]+ (g),,1687.57,1690.91,¡À 0.16,kJ/mol,25.0288 ¡À,,25.0288 ¡À,0.0016
,,,,,,,0.0016,,,
Bromide,Br- (aq),,,-120.96,¡À 0.15,kJ/mol,79.90455 ¡À,,79.90455 ¡À,0.001
,,,,,,,0.001,,,
Methyloxoniumylidene,[CH3O]+ (g),,1062.74,1054.93,¡À 0.75,kJ/mol,31.03337 ¡À,,31.03337 ¡À,0.00088
,,,,,,,0.00088,,,
Hydroxymethylene,"HCOH (g, cis)",,131.1,127.35,¡À 0.29,kJ/mol,30.02598 ¡À,,30.02598 ¡À,0.00087
,,,,,,,0.00087,,,
Hydroxymethylene cation,"[HCOH]+ (g, trans)",,971.9,968.2,¡À 1.4,kJ/mol,30.02543 ¡À,,30.02543 ¡À,0.00087
,,,,,,,0.00087,,,
Azide,[NNN]- (g),,193.5,190,¡À 0.91,kJ/mol,42.02077 ¡À,,42.02077 ¡À,0.00021
,,,,,,,0.00021,,,
Isoformyl,COH (g),,217.26,217.64,¡À 0.69,kJ/mol,29.01804 ¡À,,29.01804 ¡À,0.00086
,,,,,,,0.00086,,,
Dioxidenium,[HO2]+ (g),,1110.87,1107.98,¡À 0.11,kJ/mol,33.00619 ¡À,,33.00619 ¡À,0.0006
,,,,,,,0.0006,,,
1-Methylethylidene,"CH3CCH3 (g, singlet)",,316.5,302.6,¡À 2.1,kJ/mol,42.0797 ¡À,,42.0797 ¡À,0.0024
,,,,,,,0.0024,,,
Propylidene,"CH3CH2CH (g, triplet)",,349.5,335.8,¡À 1.4,kJ/mol,42.0797 ¡À,,42.0797 ¡À,0.0024
,,,,,,,0.0024,,,
Allylium,[CH2CHCH2]+ (g),,964.59,953.03,¡À 0.45,kJ/mol,41.0713 ¡À,,41.0713 ¡À,0.0024
,,,,,,,0.0024,,,
1-Propenyl,"CH3CHCH (g, trans)",,280.26,269.43,¡À 0.80,kJ/mol,41.0718 ¡À,,41.0718 ¡À,0.0024
,,,,,,,0.0024,,,
1H-Triazirin-1-yl,N(NN) (g),,585.9,584.1,¡À 2.0,kJ/mol,42.02022 ¡À,,42.02022 ¡À,0.00021
,,,,,,,0.00021,,,
Iodide,I- (aq),,,-56.826,¡À 0.090,kJ/mol,126.905019 ¡À,,126.905019 ¡À,0.00003
,,,,,,,0.00003,,,
Propargylium,[CH2CCH]+ (g),,1193.44,1190.63,¡À 0.38,kJ/mol,39.0554 ¡À,,39.0554 ¡À,0.0024
,,,,,,,0.0024,,,
Cycloprop-1-enyl,CH2(CHC) (g),,527.52,523.14,¡À 0.67,kJ/mol,39.0559 ¡À,,39.0559 ¡À,0.0024
,,,,,,,0.0024,,,
n-Butyl anion,[CH3CH2CH2CH2]- (g),,105.8,80.9,¡À 1.3,kJ/mol,57.1148 ¡À,,57.1148 ¡À,0.0033
,,,,,,,0.0033,,,
sec-Butyl anion,[CH3CH2CHCH3]- (g),,103,78.5,¡À 1.3,kJ/mol,57.1148 ¡À,,57.1148 ¡À,0.0033
,,,,,,,0.0033,,,
Cyclobutane,CH2(CH2CH2CH2) (g),,52.35,27.82,¡À 0.41,kJ/mol,56.1063 ¡À,,56.1063 ¡À,0.0032
,,,,,,,0.0032,,,
Cyclopentene,CH2(CH2CHCHCH2) (g),,59.36,35.09,¡À 0.46,kJ/mol,68.1170 ¡À,,68.1170 ¡À,0.004
,,,,,,,0.004,,,
n-Heptane,CH3(CH2)5CH3 (g),,-145.66,-187.53,¡À 0.48,kJ/mol,100.2019 ¡À,,100.2019 ¡À,0.0057
,,,,,,,0.0057,,,
n-Octane,CH3(CH2)6CH3 (g),,-161.42,-208.25,¡À 0.67,kJ/mol,114.2285 ¡À,,114.2285 ¡À,0.0065
,,,,,,,0.0065,,,
1-Hydroxyethylium,"[CH3CHOH]+ (g, syn)",,610.9,596.4,¡À 1.3,kJ/mol,45.0600 ¡À,,45.0600 ¡À,0.0017
,,,,,,,0.0017,,,
Ethenol,"CH2CHOH (g, anti)",,-108.23,-119.03,¡À 0.77,kJ/mol,44.0526 ¡À,,44.0526 ¡À,0.0017
,,,,,,,0.0017,,,
Vinyl alcohol cation,"[CH2CHOH]+ (g, anti)",,778.8,767.6,¡À 1.4,kJ/mol,44.0520 ¡À,,44.0520 ¡À,0.0017
,,,,,,,0.0017,,,
Oxiranyl,CH2(CHO) (g),,172.5,164.2,¡À 1.4,kJ/mol,43.0446 ¡À,,43.0446 ¡À,0.0016
,,,,,,,0.0016,,,
Oxiranylium,"[CH2(CHO)]+ (g, singlet)",,901.1,893.1,¡À 1.5,kJ/mol,43.0441 ¡À,,43.0441 ¡À,0.0016
,,,,,,,0.0016,,,
C=O=C,"COC (g, triplet)",,653.2,657.5,¡À 1.7,kJ/mol,40.0208 ¡À,,40.0208 ¡À,0.0016
,,,,,,,0.0016,,,
C=O=C,"COC (g, singlet)",,721,725.4,¡À 1.7,kJ/mol,40.0208 ¡À,,40.0208 ¡À,0.0016
,,,,,,,0.0016,,,
Oxoethylidene,"HCC(O)H (g, singlet)",,275.5,272.7,¡À 1.9,kJ/mol,42.0367 ¡À,,42.0367 ¡À,0.0016
,,,,,,,0.0016,,,
Formic acid cation,"[HC(O)OH]+ (g, syn)",,721.87,714.79,¡À 0.26,kJ/mol,46.0248 ¡À,,46.0248 ¡À,0.001
,,,,,,,0.001,,,
Formyloxidanyl,"HC(O)O (g, 2B2)",,-122.01,-125.36,¡À 0.56,kJ/mol,45.0174 ¡À,,45.0174 ¡À,0.001
,,,,,,,0.001,,,
1-Propanol,CH3CH2CH2OH (g),,-231.42,-255.27,¡À 0.25,kJ/mol,60.0950 ¡À,,60.0950 ¡À,0.0025
,,,,,,,0.0025,,,
Fulminic acid,HCNO (g),,170.92,169.46,¡À 0.49,kJ/mol,43.02478 ¡À,,43.02478 ¡À,0.00086
,,,,,,,0.00086,,,
Water anion,"[(H)(OH)]- (g, vdW ?)",,31.3,29.8,¡À 3.1,kJ/mol,18.01583 ¡À,,18.01583 ¡À,0.00033
,,,,,,,0.00033,,,
(Formyloxy)methyl,"HC(O)OCH2 (g, anti)",,-136.3,-144.5,¡À 1.4,kJ/mol,59.0440 ¡À,,59.0440 ¡À,0.0017
,,,,,,,0.0017,,,
Carboxymethyl,"CH2C(O)OH (g, anti)",,-206.7,-216,¡À 1.3,kJ/mol,59.0440 ¡À,,59.0440 ¡À,0.0017
,,,,,,,0.0017,,,
Dimethylamide,[(CH3)2N]- (g),,122.1,103.7,¡À 1.7,kJ/mol,44.0763 ¡À,,44.0763 ¡À,0.0017
,,,,,,,0.0017,,,
Chloryl hydride,HCl(O)O (g),,197.6,191.2,¡À 1.6,kJ/mol,68.4594 ¡À,,68.4594 ¡À,0.0011
,,,,,,,0.0011,,,
Hydrogen difluoride,"(F)(HF) (g, lin)",,-198.5,-198.4,¡À 1.2,kJ/mol,39.004746 ¡À,,39.004746 ¡À,0.00007
,,,,,,,0.00007,,,
"1,1,2-Trichloroethane",CH2ClCHCl2 (g),,-136.6,-148.3,¡À 1.4,kJ/mol,133.4033 ¡À,,133.4033 ¡À,0.0031
,,,,,,,0.0031,,,
"1,1,1,2-Tetrachloroethane",CH2ClCCl3 (g),,-144.6,-153.1,¡À 1.3,kJ/mol,167.8481 ¡À,,167.8481 ¡À,0.0039
,,,,,,,0.0039,,,
Pentachloroethyl,CCl3CCl2 (g),,26.9,25,¡À 1.3,kJ/mol,201.2849 ¡À,,201.2849 ¡À,0.0048
,,,,,,,0.0048,,,
Oxygen atom,"O (g, triplet)",,246.844,249.229,¡À 0.0021,kJ/mol,15.99940 ¡À,,15.99940 ¡À,0.0003
,,,,,,,0.0003,,,
Iodomethane,CH3I (l),,,-12.18,¡À 0.20,kJ/mol,141.93899 ¡À,,141.93899 ¡À,0.00083
,,,,,,,0.00083,,,
Fluoride,F- (aq),,,-334.49,¡À 0.16,kJ/mol,18.99895178 ¡À,,18.99895178 ¡À,0.0000005
,,,,,,,0.0000005,,,
Difluoromethylene,"CF2 (g, triplet)",,43.26,43.97,¡À 0.38,kJ/mol,50.00751 ¡À,,50.00751 ¡À,0.0008
,,,,,,,0.0008,,,
Fluoromethyliumylidene,[CF]+ (g),,1122.85,1126.06,¡À 0.46,kJ/mol,31.00855 ¡À,,31.00855 ¡À,0.0008
,,,,,,,0.0008,,,
Iodine atom cation,I+ (g),,1115.549,1115.149,¡À 0.0062,kJ/mol,126.903921 ¡À,,126.903921 ¡À,0.00003
,,,,,,,0.00003,,,
Ethyl iodide,CH3CH2I (l),,-9.4,-39.27,¡À 0.49,kJ/mol,155.9656 ¡À,,155.9656 ¡À,0.0016
,,,,,,,0.0016,,,
"1,2-Difluoroacetylene",FCCF (g),,2.85,5.68,¡À 0.66,kJ/mol,62.0182 ¡À,,62.0182 ¡À,0.0016
,,,,,,,0.0016,,,
Fluoro(fluorooxy)methylene,"FCOF (g, cis)",,-134.8,-136,¡À 1.3,kJ/mol,66.00691 ¡À,,66.00691 ¡À,0.00085
,,,,,,,0.00085,,,
Dibromophosgene,CBr2O (g),,-97.99,-113.92,¡À 0.37,kJ/mol,187.8181 ¡À,,187.8181 ¡À,0.0022
,,,,,,,0.0022,,,
Benzene,"C6H6 (cr,l)",,50.71,49.16,¡À 0.23,kJ/mol,78.1118 ¡À,,78.1118 ¡À,0.0048
,,,,,,,0.0048,,,
o-Benzyne,C6H4 (g),,468.03,459.11,¡À 0.88,kJ/mol,76.0960 ¡À,,76.0960 ¡À,0.0048
,,,,,,,0.0048,,,
m-Benzyne,"C6H4 (g, singlet)",,526.9,518.5,¡À 1.2,kJ/mol,76.0960 ¡À,,76.0960 ¡À,0.0048
,,,,,,,0.0048,,,
p-Benzyne,"C6H4 (g, singlet)",,587,577.5,¡À 1.2,kJ/mol,76.0960 ¡À,,76.0960 ¡À,0.0048
,,,,,,,0.0048,,,
Cycloheptane,CH2(CH2CH2CH2CH2CH2C (g),,-72.82,-118.31,¡À 0.53,kJ/mol,98.1861 ¡À,,98.1861 ¡À,0.0057
,,,,,,,0.0057,,,
Phenoxy,C6H5O (g),,71.1,55.82,¡À 0.88,kJ/mol,93.1033 ¡À,,93.1033 ¡À,0.0048
,,,,,,,0.0048,,,
Benzoyl fluoride,C6H5C(O)F (g),,-288.2,-304.6,¡À 1.5,kJ/mol,124.1124 ¡À,,124.1124 ¡À,0.0056
,,,,,,,0.0056,,,
Iodobenzene,C6H5I (g),,177.7,161.7,¡À 1.0,kJ/mol,204.0084 ¡À,,204.0084 ¡À,0.0048
,,,,,,,0.0048,,,
2-Cyclopropen-1-one,OC(CHCH) (g),,163.8,159.8,¡À 1.2,kJ/mol,54.0474 ¡À,,54.0474 ¡À,0.0024
,,,,,,,0.0024,,,
Chlorine difluoride cation,[FClF]+ (g),,998.8,996.6,¡À 1.7,kJ/mol,73.44896 ¡À,,73.44896 ¡À,0.0009
,,,,,,,0.0009,,,
Dioxyamidogen,"HNOO (g, cis)",,240.4,233.8,¡À 1.8,kJ/mol,47.01348 ¡À,,47.01348 ¡À,0.00061
,,,,,,,0.00061,,,
Hydrogen difluoride cation,[FFH]+ (g),,1174.3,1171.3,¡À 1.5,kJ/mol,39.004198 ¡À,,39.004198 ¡À,0.00007
,,,,,,,0.00007,,,
Peroxynitrous acid,"HOONO (g, cis, perp)",,-0.19,-7.24,¡À 0.53,kJ/mol,63.01288 ¡À,,63.01288 ¡À,0.00091
,,,,,,,0.00091,,,
Dioxiranylidene,C(OO) (g),,190.3,191.1,¡À 1.4,kJ/mol,44.00950 ¡À,,44.00950 ¡À,0.001
,,,,,,,0.001,,,
Methylidyne,"CH (g, doublet)",,592.825,596.159,¡À 0.099,kJ/mol,13.01864 ¡À,,13.01864 ¡À,0.0008
,,,,,,,0.0008,,,
Oxofluoronium,[FO]+ (g),,1342.64,1342.59,¡À 0.81,kJ/mol,34.99725 ¡À,,34.99725 ¡À,0.0003
,,,,,,,0.0003,,,
Hydrogen fluoride,"HF (aq, 40 H2O)",,,-321.12,¡À 0.16,kJ/mol,20.006343 ¡À,,20.006343 ¡À,0.00007
,,,,,,,0.00007,,,
Methylammonium,[CH3NH3]+ (g),,628.1,609.2,¡À 1.4,kJ/mol,32.06453 ¡À,,32.06453 ¡À,0.00091
,,,,,,,0.00091,,,
Aminomethylene,CHNH2 (g),,245.9,238.1,¡À 1.5,kJ/mol,29.04126 ¡À,,29.04126 ¡À,0.00083
,,,,,,,0.00083,,,
Methyleneamidogen anion,[CH2N]- (g),,192.71,188.96,¡À 0.96,kJ/mol,28.03387 ¡À,,28.03387 ¡À,0.00082
,,,,,,,0.00082,,,
2-Hydrotrioxy cation,[OO(H)O]+ (g),,1297.9,1291.3,¡À 1.5,kJ/mol,49.00559 ¡À,,49.00559 ¡À,0.0009
,,,,,,,0.0009,,,
(Z)-Iminomethyl,"HCNH (g, cis)",,294.5,291.01,¡À 0.91,kJ/mol,28.03332 ¡À,,28.03332 ¡À,0.00082
,,,,,,,0.00082,,,
Aminomethylidyne,CNH2 (g),,371.9,368.3,¡À 1.1,kJ/mol,28.03332 ¡À,,28.03332 ¡À,0.00082
,,,,,,,0.00082,,,
Chlorine chlorite,"ClOClO (g, gauche)",,168.6,166.2,¡À 1.3,kJ/mol,102.9042 ¡À,,102.9042 ¡À,0.0019
,,,,,,,0.0019,,,
Oxywater,(H2O)O (g),,64.9,58.4,¡À 1.3,kJ/mol,34.01468 ¡À,,34.01468 ¡À,0.00062
,,,,,,,0.00062,,,
Oxygen cation monohydrate,[(HOH)O]+ (g),,1153.4,1147.9,¡À 3.2,kJ/mol,34.01413 ¡À,,34.01413 ¡À,0.00062
,,,,,,,0.00062,,,
Oxygen anion monohydrate,[(HOH)O]- (g),,-239,-244.3,¡À 3.0,kJ/mol,34.01523 ¡À,,34.01523 ¡À,0.00062
,,,,,,,0.00062,,,
Methyleneoxonium,CH2OH2 (g),,152.48,144.16,¡À 0.49,kJ/mol,32.04186 ¡À,,32.04186 ¡À,0.0009
,,,,,,,0.0009,,,
Hydroxymethylene anion,"[HCOH]- (g, trans)",,147.1,144.1,¡À 1.6,kJ/mol,30.02653 ¡À,,30.02653 ¡À,0.00087
,,,,,,,0.00087,,,
Hydroxymethyliumylidene,[COH]+ (g),,986.02,987.66,¡À 0.83,kJ/mol,29.01749 ¡À,,29.01749 ¡À,0.00086
,,,,,,,0.00086,,,
Isoformyl anion,"[(CO)(H)]- (g, vdW singlet ?)",,55.7,58.4,¡À 1.8,kJ/mol,29.01859 ¡À,,29.01859 ¡À,0.00086
,,,,,,,0.00086,,,
Peroxyformic acid,"HC(O)OOH (g, trans)",,-265.3,-273.3,¡À 1.6,kJ/mol,62.0248 ¡À,,62.0248 ¡À,0.0012
,,,,,,,0.0012,,,
Hydroxyoxomethoxy,HOC(O)O (g),,-358.8,-365,¡À 1.5,kJ/mol,61.0168 ¡À,,61.0168 ¡À,0.0012
,,,,,,,0.0012,,,
Hydroperoxycarbonyl,HOOCO (g),,-72.9,-76.8,¡À 1.7,kJ/mol,61.0168 ¡À,,61.0168 ¡À,0.0012
,,,,,,,0.0012,,,
Propan-1-yl-3-ylidene,"CH2CH2CH (g, quartet)",,554.3,545.6,¡À 1.4,kJ/mol,41.0718 ¡À,,41.0718 ¡À,0.0024
,,,,,,,0.0024,,,
Cycloprop-2-enyl,CH(CHCH) (g),,490.25,485.7,¡À 0.64,kJ/mol,39.0559 ¡À,,39.0559 ¡À,0.0024
,,,,,,,0.0024,,,
Cyclopropenylidene,C(CHCH) (g),,497.06,496.11,¡À 0.46,kJ/mol,38.0480 ¡À,,38.0480 ¡À,0.0024
,,,,,,,0.0024,,,
2-Propynylidyne anion,[CCCH]- (g),,540,544.78,¡À 0.84,kJ/mol,37.0406 ¡À,,37.0406 ¡À,0.0024
,,,,,,,0.0024,,,
